Sub Folio de Pedido,Aprobación,Fecha de creación Airtable,QR
H22157-19-JA132329,Aprobado,29/10/2021 13:10,H22157-19-JA132329.png (https://dl.airtable.com/.attachments/b50b5a53df6efde1db0c96c3967979ee/a9f1b29b/H22157-19-JA132329.png)
H22157-19-JA132329R,Aprobado,29/10/2021 13:32,H22157-19-JA132329R.png (https://dl.airtable.com/.attachments/c63ec0b202d8a670e72092cee7bfb011/72667e5a/H22157-19-JA132329R.png)
H29841-20-TR151775ARR,Aprobado,31/10/2021 16:20,H29841-20-TR151775ARR.png (https://dl.airtable.com/.attachments/850374c985baf4ff84d9a0fd1f1bac2e/b0c1eaab/H29841-20-TR151775ARR.png)
H30449-21-CA153160R,Aprobado,18/11/2021 11:26,H30449-21-CA153160R.png (https://dl.airtable.com/.attachments/7b32633d275ff3d4fa62fc4abbaa8737/9c236c46/H30449-21-CA153160R.png)
H30449-21-CA153162R,Aprobado,18/11/2021 11:30,H30449-21-CA153162R.png (https://dl.airtable.com/.attachments/90b48b071ad5a6ad9c97c832a5d24054/cc59f573/H30449-21-CA153162R.png)
H31698-21-CA156297R,Aprobado,5/11/2021 10:51,H31698-21-CA156297R.png (https://dl.airtable.com/.attachments/5a2adfebc46ee4ed0ec15790cd9fcbc5/62fa8b6f/H31698-21-CA156297R.png)
H32252-21-PA157570RR,Aprobado,4/10/2021 14:38,H32252-21-PA157570RR.png (https://dl.airtable.com/.attachments/54706b76ff3ab90bfca2fa8e50ec24a6/524b6666/H32252-21-PA157570RR.png)
H33495-21-PA160669R,Aprobado,4/10/2021 14:44,H33495-21-PA160669R.png (https://dl.airtable.com/.attachments/02ddd026ddb5d2f5d9ab0f05b7b0b7f8/fadb6b08/H33495-21-PA160669R.png)
H34021-21-CA162013R,Aprobado,17/11/2021 17:44,H34021-21-CA162013R.png (https://dl.airtable.com/.attachments/b798b5fe9c956bcd5e82c828bdcedbab/90479c6e/H34021-21-CA162013R.png)
H34522-21-CH163113R,Aprobado,17/10/2021 10:19,H34522-21-CH163113.png (https://dl.airtable.com/.attachments/ddb2b805dedc26ca252be6fa5e0ae1fd/9bf6a4f3/H34522-21-CH163113.png)
H34522-21-CH163113R,Aprobado,17/10/2021 10:22,H34522-21-CH163113R.png (https://dl.airtable.com/.attachments/80e4070f060405f6d9997b384543cfbd/ced8b4c2/H34522-21-CH163113R.png)
H34522-21-TR163114AR,Aprobado,22/10/2021 14:38,H34522-21-TR163114AR.png (https://dl.airtable.com/.attachments/42b963fe0979dd3d38c1fe715e825a4d/d3f3f4ac/H34522-21-TR163114AR.png)
H34584-21-CA163275R,Aprobado,1/11/2021 14:33,H34584-21-CA163275R.png (https://dl.airtable.com/.attachments/ac745b2162ef9bb471a42a5753ff2829/d050740f/H34584-21-CA163275R.png)
H34896-21-PA163945R,Aprobado,11/11/2021 12:31,H34896-21-PA163945R.png (https://dl.airtable.com/.attachments/21c0d6bddb0bca23788634686245c2b4/f10828b8/H34896-21-PA163945R.png)
H34897-21-PA163947R,Aprobado,11/11/2021 12:33,H34897-21-PA163947R.png (https://dl.airtable.com/.attachments/5c006b2b3f9ca0ba8868e251278d2d85/b8b8c5dc/H34897-21-PA163947R.png)
H35033-21-CA164223R,Aprobado,4/10/2021 20:00,H35033-21-CA164223R.png (https://dl.airtable.com/.attachments/a3c6b0b056217b600b95be99995ace25/d92855fc/H35033-21-CA164223R.png)
H35153-21-CA164450R,Aprobado,11/11/2021 10:33,H35153-21-CA164450R.png (https://dl.airtable.com/.attachments/7de855032f2f8f97a43ee63ebe030a78/5d90b881/H35153-21-CA164450R.png)
H35154-21-CA164451R,Aprobado,11/11/2021 10:34,H35154-21-CA164451R.png (https://dl.airtable.com/.attachments/3c4fe1bc7c0b89fe6940aaf57b47ee45/eb01923b/H35154-21-CA164451R.png)
H35263-21-TR164701AR,Aprobado,20/10/2021 19:08,H35263-21-TR164701AR.png (https://dl.airtable.com/.attachments/a014c4b2268f91f08cd9b59ef2a2bcb5/ad89d64e/H35263-21-TR164701AR.png)